date,BTC_RTN,BTC_RTN_LG1,BTC_RTN_LG2,ETH_RTN,ETH_RTN_LG1,ETH_RTN_LG2,XRP_RTN,XRP_RTN_LG1,XRP_RTN_LG2,BCH_RTN,BCH_RTN_LG1,BCH_RTN_LG2,BNP_RTN,BNP_RTN_LG1,BNP_RTN_LG2,LINK_RTN,LINK_RTN_LG1,LINK_RTN_LG2,LTC_RTN,LTC_RTN_LG1,LTC_RTN_LG2,ADA_RTN,ADA_RTN_LG1,ADA_RTN_LG2
11/6/2017,0.05192778,-0.003720887,-0.02388959,-0.008877354,0.01401135,0.0171404,-0.019474895,0.008319018,0.02105865,0.04447437,-0.01652027,0.007788005,-0.032894737,0.073170732,-0.123287671,0.026752451,0.031215689,-0.033789683,-0.007671233,0.005268895,0.020291919,-0.060382845,0.062982472,0.026780979
11/7/2017,-0.017318,0.05192778,-0.003720887,0.0141524,-0.008877354,0.01401135,-0.021185494,-0.019474895,0.008319018,-0.0226499,0.04447437,-0.01652027,-0.152866242,-0.032894737,0.073170732,-0.060212832,0.026752451,0.031215689,-0.111111111,-0.007671233,0.005268895,-0.01435035,-0.060382845,0.062982472
11/8/2017,-0.044134,-0.017318,0.05192778,-0.04890383,0.0141524,-0.008877354,-0.03367181,-0.021185494,-0.019474895,-0.009995188,-0.0226499,0.04447437,-0.121546961,-0.152866242,-0.032894737,-0.204856398,-0.060212832,0.026752451,-0.020717781,-0.111111111,-0.007671233,-0.134760081,-0.01435035,-0.060382845
11/9/2017,0.04237574,-0.044134,-0.017318,-0.0382114,-0.04890383,0.0141524,-0.000234551,-0.03367181,-0.021185494,-0.05115182,-0.009995188,-0.0226499,0.019704433,-0.121546961,-0.152866242,-0.047029344,-0.204856398,-0.060212832,-0.02716957,-0.020717781,-0.111111111,-0.272651473,-0.134760081,-0.01435035
11/10/2017,0.07355415,0.04237574,-0.044134,0.06740839,-0.0382114,-0.04890383,0.050600493,-0.000234551,-0.03367181,-0.5396913,-0.05115182,-0.009995188,0.095477387,0.019704433,-0.121546961,0.16237515,-0.047029344,-0.204856398,0.077952388,-0.02716957,-0.020717781,0.153932549,-0.272651473,-0.134760081
11/11/2017,0.03936756,0.07355415,0.04237574,-0.05156222,0.06740839,-0.0382114,-0.019115375,0.050600493,-0.000234551,-0.3305771,-0.5396913,-0.05115182,0.072222222,0.095477387,0.019704433,0.041747956,0.16237515,-0.047029344,-0.051299359,0.077952388,-0.02716957,-0.011726096,0.153932549,-0.272651473
11/12/2017,0.06410128,0.03936756,0.07355415,0.02151388,-0.05156222,0.06740839,0.062210711,-0.019115375,0.050600493,-0.03611476,-0.3305771,-0.5396913,0.089820359,0.072222222,0.095477387,0.04935195,0.041747956,0.16237515,0.052808989,-0.051299359,0.077952388,0.126107082,-0.011726096,0.153932549
11/13/2017,-0.1024224,0.06410128,0.03936756,-0.02861225,0.02151388,-0.05156222,-0.030926477,0.062210711,-0.019115375,0.02510692,-0.03611476,-0.3305771,-0.111842105,0.089820359,0.072222222,-0.071229622,0.04935195,0.041747956,-0.04050161,0.052808989,-0.051299359,-0.07636485,0.126107082,-0.011726096
11/14/2017,-0.01162587,-0.1024224,0.06410128,-0.06602047,-0.02861225,0.02151388,-0.031375036,-0.030926477,0.062210711,0.05942434,0.02510692,-0.03611476,0.059171598,-0.111842105,0.089820359,-0.02754669,-0.071229622,0.04935195,-0.020846906,-0.04050161,0.052808989,-0.016351519,-0.07636485,0.126107082
11/15/2017,-0.1024436,-0.01162587,-0.1024224,0.01264704,-0.06602047,-0.02861225,-0.014921959,-0.031375036,-0.030926477,0.04800044,0.05942434,0.02510692,0.037735849,0.059171598,-0.111842105,0.010504269,-0.02754669,-0.071229622,-0.01818762,-0.020846906,-0.04050161,-0.008196721,-0.016351519,-0.07636485
